query_date,status,pit_candidate_pool_size,n_matches,actual_recession,fwd_credit_spread_change,excluded_2020_flag,neighbor_recession_share_pit_observable_raw,neighbor_recession_share_pit_observable_shrunk,evaluable_neighbor_count_pit_observable,kernel_weight_sum_pit_observable,neighbor_recession_share_in_sample_raw,neighbor_recession_share_in_sample_shrunk,evaluable_neighbor_count_in_sample,kernel_weight_sum_in_sample,dropped_neighbor_count_in_sample,dropped_unresolved_count,unresolved_kernel_weight_in_sample,contamination_weight_fraction
2007Q2,ok,126,27,True,3.0233333333333334,False,0.11627946322857115,0.14028642776748135,23,16.5503029021182,0.21152640932692224,0.21972985524510333,27,19.38115446024187,0,4,2.8308515581236686,0.14606207096335894
2007Q3,ok,127,14,True,1.2433333333333327,False,0.21328153215176196,0.22778624445268347,14,9.295122993594427,0.21328153215176196,0.22778624445268347,14,9.295122993594427,0,0,0.0,0.0
2007Q4,ok,128,4,True,0.6166666666666676,False,0.5037245232462257,0.3824457209321017,4,2.714038548648776,0.5037245232462257,0.3824457209321017,4,2.714038548648776,0,0,0.0,0.0
2008Q1,unprecedented_state,129,0,True,-0.516666666666667,False,,,0,0.0,,,0,0.0,0,0,0.0,
2008Q2,unprecedented_state,130,0,True,-0.4166666666666661,False,,,0,0.0,,,0,0.0,0,0,0.0,
2008Q3,ok,131,2,True,-0.35333333333333394,False,0.0,0.19220339241700407,2,1.2568541995694469,0.0,0.19220339241700407,2,1.2568541995694469,0,0,0.0,0.0
2008Q4,unprecedented_state,132,0,True,-2.536666666666668,False,,,0,0.0,,,0,0.0,0,0,0.0,
2009Q1,unprecedented_state,133,0,True,-2.846666666666667,False,,,0,0.0,,,0,0.0,0,0,0.0,
2009Q2,unprecedented_state,134,0,False,-2.029999999999999,False,,,0,0.0,,,0,0.0,0,0,0.0,
2009Q3,unprecedented_state,135,0,False,-0.10666666666666558,False,,,0,0.0,,,0,0.0,0,0,0.0,
2009Q4,unprecedented_state,136,0,False,0.33999999999999897,False,,,0,0.0,,,0,0.0,0,0,0.0,
2010Q1,unprecedented_state,137,0,False,0.5933333333333342,False,,,0,0.0,,,0,0.0,0,0,0.0,
2010Q2,unprecedented_state,138,0,False,0.5833333333333339,False,,,0,0.0,,,0,0.0,0,0,0.0,
2010Q3,ok,139,6,False,0.24000000000000066,False,0.0,0.11695280127098391,6,3.995829166041615,0.0,0.11695280127098391,6,3.995829166041615,0,0,0.0,0.0
2010Q4,ok,140,9,False,-0.18333333333333357,False,0.0,0.08974832096340336,9,6.116402506465248,0.0,0.08974832096340336,9,6.116402506465248,0,0,0.0,0.0
2011Q1,ok,141,14,False,0.22999999999999998,False,0.0753274265199131,0.12244279975865889,14,9.569136099617644,0.0753274265199131,0.12244279975865889,14,9.569136099617644,0,0,0.0,0.0
2011Q2,ok,142,8,False,0.19999999999999885,False,0.11695426605530168,0.1732715567873235,8,5.297966999861322,0.11695426605530168,0.1732715567873235,8,5.297966999861322,0,0,0.0,0.0
2011Q3,ok,143,7,False,-0.3433333333333346,False,0.0,0.10554944185439007,7,4.751645141909274,0.0,0.10554944185439007,7,4.751645141909274,0,0,0.0,0.0
2011Q4,ok,144,2,False,-0.5966666666666667,False,0.0,0.1823165213722937,2,1.487699809229443,0.0,0.1823165213722937,2,1.487699809229443,0,0,0.0,0.0
2012Q1,ok,145,5,False,-0.8100000000000005,False,0.0,0.1565431659532115,3,2.2265572450883027,0.0,0.12263637609522961,5,3.6716079211806085,0,2,1.4450506760923054,0.39357434320700785
2012Q2,ok,146,15,False,-1.0733333333333337,False,0.0,0.07363826136209525,12,8.110824767557197,0.0,0.060700934534926754,15,10.47889986291799,0,3,2.368075095360793,0.2259850868258389
2012Q3,ok,147,26,False,-0.9866666666666668,False,0.12218131762466261,0.14594842790829163,23,16.00264104125954,0.1066058892095298,0.1299586741699663,26,18.34067313160041,0,3,2.338032090340871,0.12747798696180426
2012Q4,ok,148,27,False,-0.40666666666666584,False,0.12641749377492428,0.14854017013707202,24,16.840697828408338,0.11085190297658713,0.1327216006235254,27,19.20543315650473,0,3,2.3647353280963888,0.1231284558294626
2013Q1,ok,149,17,False,-0.3266666666666662,False,0.06306840959192661,0.11004900275427079,15,10.388008687599433,0.05499056753472,0.09878914973112449,17,11.913955722322022,0,2,1.5259470347225903,0.12808063671611364
2013Q2,ok,150,14,False,-0.17333333333333334,False,0.06728306044261398,0.1150451087616604,14,9.904233770229592,0.06728306044261398,0.1150451087616604,14,9.904233770229592,0,0,0.0,0.0
2013Q3,ok,151,14,False,0.33000000000000007,False,0.20561807004568156,0.22147454899531052,14,9.696867235426481,0.20561807004568156,0.22147454899531052,14,9.696867235426481,0,0,0.0,0.0
2013Q4,ok,152,14,False,0.6199999999999992,False,0.19917946750019985,0.2163866215198635,14,9.822772169591556,0.19917946750019985,0.2163866215198635,14,9.822772169591556,0,0,0.0,0.0
2014Q1,ok,153,16,False,1.0333333333333337,False,0.12834225287806658,0.16194915914569027,14,9.888870403548948,0.11147074552275929,0.14509951375327157,16,11.385587313144681,0,2,1.4967169095957347,0.13145715442081518
2014Q2,ok,154,25,False,0.7166666666666672,False,0.0,0.0456797963318003,21,14.911240502012385,0.0,0.03861909588241452,25,18.185939222217343,0,4,3.274698720204963,0.1800676159856698
2014Q3,ok,155,35,False,0.44999999999999973,False,0.08686730648452805,0.10928179519715474,31,21.875869616161904,0.07601430243328879,0.09709128320442392,35,24.999214749493216,0,4,3.1233451333313096,0.12493772962987272
2014Q4,ok,156,34,False,0.049999999999998934,False,0.08332142533958142,0.10529154854493794,32,22.863193248936227,0.07877172209125968,0.1001766841329736,34,24.18372734201066,0,2,1.320534093074432,0.054604241703489265
2015Q1,ok,157,23,False,-0.31666666666666643,False,0.03767440019954936,0.07406192504479314,23,16.37913118801598,0.03767440019954936,0.07406192504479314,23,16.37913118801598,0,0,0.0,0.0
2015Q2,ok,158,30,False,-0.4333333333333327,False,0.09297931834072057,0.11618574701120152,29,20.236831087481615,0.09026620752498105,0.11322201572582508,30,20.845084904775817,0,1,0.6082538172942024,0.029179723664970313
2015Q3,ok,159,18,False,-0.9333333333333336,False,0.21650021979031392,0.22796518572815014,18,11.712748361004824,0.21650021979031392,0.22796518572815014,18,11.712748361004824,0,0,0.0,0.0
2015Q4,ok,160,2,False,-1.3299999999999992,False,0.0,0.2262141404612346,1,0.6168464823357347,0.0,0.1921268817440118,2,1.258549406282232,0,1,0.6417029239464973,0.5098750360878517
2016Q1,ok,161,12,False,-1.6766666666666667,False,0.09616622184574326,0.15144198335170614,10,6.58255731289109,0.07883514880445988,0.13157260586486938,12,8.029662865658128,0,2,1.4471055527670376,0.18021996402316323
2016Q2,ok,162,37,False,-1.0566666666666675,False,0.1519023999582986,0.16586692642221323,33,22.95681416362977,0.13434335390867022,0.14868002494088572,37,25.95733294869727,0,4,3.0005187850675012,0.1155942635168953
2016Q3,ok,163,16,False,-0.8066666666666671,False,0.1244261672579153,0.1582424869980475,15,10.156467641275421,0.11711973496391716,0.1509718150955854,16,10.790071731909883,0,1,0.633604090634461,0.058721026734296855
