ticker,company_name,index_memberships,sector,industry,exchange
BAC,Bank of America,S&P 500,Financials,Diversified Banks,
BALL,Ball Corporation,S&P 500,Materials,"Metal, Glass & Plastic Containers",
BAX,Baxter International,S&P 500,Health Care,Health Care Equipment,
BBY,Best Buy,S&P 500,Consumer Discretionary,Computer & Electronics Retail,
BDX,Becton Dickinson,S&P 500,Health Care,Health Care Equipment,
BEN,Franklin Resources,S&P 500,Financials,Asset Management & Custody Banks,
BF-B,Brown–Forman,S&P 500,Consumer Staples,Distillers & Vintners,
BG,Bunge Global,S&P 500,Consumer Staples,Agricultural Products & Services,
BIIB,Biogen,S&P 500,Health Care,Biotechnology,
BK,BNY Mellon,S&P 500,Financials,Asset Management & Custody Banks,
BKNG,Booking Holdings,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
BKR,Baker Hughes,S&P 500,Energy,Oil & Gas Equipment & Services,
BLDR,Builders FirstSource,S&P 500,Industrials,Building Products,
BLK,BlackRock,S&P 500,Financials,Asset Management & Custody Banks,
BMY,Bristol Myers Squibb,S&P 500,Health Care,Pharmaceuticals,
BR,Broadridge Financial Solutions,S&P 500,Industrials,Data Processing & Outsourced Services,
BRK-B,Berkshire Hathaway,S&P 500,Financials,Multi-Sector Holdings,
BRO,Brown & Brown,S&P 500,Financials,Insurance Brokers,
BSX,Boston Scientific,S&P 500,Health Care,Health Care Equipment,
BX,Blackstone Inc.,S&P 500,Financials,Asset Management & Custody Banks,
BXP,"BXP, Inc.",S&P 500,Real Estate,Office REITs,
C,Citigroup,S&P 500,Financials,Diversified Banks,
CAG,Conagra Brands,S&P 500,Consumer Staples,Packaged Foods & Meats,
CAH,Cardinal Health,S&P 500,Health Care,Health Care Distributors,
CARR,Carrier Global,S&P 500,Industrials,Building Products,
CASY,Casey's,S&P 500,Consumer Staples,Food Retail,
CAT,Caterpillar Inc.,S&P 500,Industrials,Construction Machinery & Heavy Transportation Equipment,
CB,Chubb Limited,S&P 500,Financials,Property & Casualty Insurance,
CBOE,Cboe Global Markets,S&P 500,Financials,Financial Exchanges & Data,
CBRE,CBRE Group,S&P 500,Real Estate,Real Estate Services,
CCI,Crown Castle,S&P 500,Real Estate,Telecom Tower REITs,
CCL,Carnival Corporation,S&P 500,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",
CDNS,Cadence Design Systems,S&P 500,Information Technology,Application Software,
CDW,CDW Corporation,S&P 500,Information Technology,Technology Distributors,
CEG,Constellation Energy,S&P 500,Utilities,Electric Utilities,
CF,CF Industries,S&P 500,Materials,Fertilizers & Agricultural Chemicals,
CFG,Citizens Financial Group,S&P 500,Financials,Regional Banks,
CHD,Church & Dwight,S&P 500,Consumer Staples,Household Products,
CHRW,C.H. Robinson,S&P 500,Industrials,Air Freight & Logistics,
CHTR,Charter Communications,S&P 500,Communication Services,Cable & Satellite,
CI,Cigna,S&P 500,Health Care,Health Care Services,
CIEN,Ciena,S&P 500,Information Technology,Communications Equipment,
CINF,Cincinnati Financial,S&P 500,Financials,Property & Casualty Insurance,
CL,Colgate-Palmolive,S&P 500,Consumer Staples,Household Products,
CLX,Clorox,S&P 500,Consumer Staples,Household Products,
CMCSA,Comcast,S&P 500,Communication Services,Cable & Satellite,
CME,CME Group,S&P 500,Financials,Financial Exchanges & Data,
CMG,Chipotle Mexican Grill,S&P 500,Consumer Discretionary,Restaurants,
CMI,Cummins,S&P 500,Industrials,Construction Machinery & Heavy Transportation Equipment,
CMS,CMS Energy,S&P 500,Utilities,Multi-Utilities,
CNC,Centene Corporation,S&P 500,Health Care,Managed Health Care,
CNP,CenterPoint Energy,S&P 500,Utilities,Multi-Utilities,
COF,Capital One,S&P 500,Financials,Consumer Finance,
COHR,Coherent Corp.,S&P 500,Information Technology,Electronic Components,
COIN,Coinbase,S&P 500,Financials,Financial Exchanges & Data,
COO,Cooper Companies (The),S&P 500,Health Care,Health Care Supplies,
COP,ConocoPhillips,S&P 500,Energy,Oil & Gas Exploration & Production,
COR,Cencora,S&P 500,Health Care,Health Care Distributors,
COST,Costco,S&P 500,Consumer Staples,Consumer Staples Merchandise Retail,
CPAY,Corpay,S&P 500,Financials,Transaction & Payment Processing Services,
CPB,Campbell's Company (The),S&P 500,Consumer Staples,Packaged Foods & Meats,
CPRT,Copart,S&P 500,Industrials,Diversified Support Services,
CPT,Camden Property Trust,S&P 500,Real Estate,Multi-Family Residential REITs,
CRH,CRH plc,S&P 500,Materials,Construction Materials,
CRL,Charles River Laboratories,S&P 500,Health Care,Life Sciences Tools & Services,
CRM,Salesforce,S&P 500,Information Technology,Application Software,
CRWD,CrowdStrike,S&P 500,Information Technology,Systems Software,
CSCO,Cisco,S&P 500,Information Technology,Communications Equipment,
CSGP,CoStar Group,S&P 500,Real Estate,Real Estate Services,
CSX,CSX Corporation,S&P 500,Industrials,Rail Transportation,
CTAS,Cintas,S&P 500,Industrials,Diversified Support Services,
CTSH,Cognizant,S&P 500,Information Technology,IT Consulting & Other Services,
CTVA,Corteva,S&P 500,Materials,Fertilizers & Agricultural Chemicals,
CVNA,Carvana,S&P 500,Consumer Discretionary,Automotive Retail,
CVS,CVS Health,S&P 500,Health Care,Health Care Services,
CVX,Chevron Corporation,S&P 500,Energy,Integrated Oil & Gas,
D,Dominion Energy,S&P 500,Utilities,Multi-Utilities,
DAL,Delta Air Lines,S&P 500,Industrials,Passenger Airlines,
DASH,DoorDash,S&P 500,Consumer Discretionary,Specialized Consumer Services,
DD,DuPont,S&P 500,Materials,Specialty Chemicals,
DDOG,Datadog,S&P 500,Information Technology,Application Software,
DE,Deere & Company,S&P 500,Industrials,Agricultural & Farm Machinery,
DECK,Deckers Brands,S&P 500,Consumer Discretionary,Footwear,
